date,N-tourists,Sentiment,ILI%,Baidu,N-influenza,RH,N-tourist
2020/11/30,5.118912542,-1.545416755,0.488550717,4.578845422,1.322219295,1.81481816,5.118912542
2020/12/7,5.117271296,-1.628391713,0.50242712,4.608878888,1.431363764,1.86332286,5.117271296
2020/12/14,5.113615838,-1.689098382,0.499687083,4.644064206,1.579783597,1.841538229,5.113615838
2020/12/21,5.165947296,-1.5165738,0.5132176,4.626319833,1.792391689,1.833420339,5.165947296
2020/12/28,5.132826209,-1.189518553,0.531478917,4.576893946,1.748188027,1.734685557,5.132826209
2021/1/4,5.041207083,-0.873644003,0.515873844,4.583708742,2.093421685,1.726610792,5.041207083
2021/1/11,5.064727468,-0.631787009,0.50242712,4.555940438,2.089905111,1.707570176,5.064727468
2021/1/18,5.066482467,-0.467053621,0.488550717,4.517024258,2.204119983,1.836143197,5.066482467
2021/1/25,5.016180617,-0.363313077,0.440909082,4.466096174,2.181843588,1.857332496,5.016180617
2021/2/1,5.027610514,-0.313398473,0.372912003,4.452430494,2.100370545,1.870069318,5.027610514
2021/2/8,4.908806599,-0.31572994,0.471291711,4.385141348,1.748188027,1.903089987,4.908806599
2021/2/15,4.922554197,-0.356977261,0.383815366,4.440389506,1.748188027,1.851258349,4.922554197
2021/2/22,5.038850559,-0.424452348,0.301029996,4.519814873,1.84509804,1.927956653,5.038850559
2021/3/1,5.123828783,-0.501228136,0.318063335,4.581130106,1.939519253,1.951476293,5.123828783
2021/3/8,5.200645336,-0.561783442,0.334453751,4.562292864,2.008600172,1.914569805,5.200645336
2021/3/15,5.209439945,-0.594222499,0.387389826,4.580845177,2.315970345,1.927956653,5.209439945
2021/3/22,5.239489676,-0.596195984,0.411619706,4.581357914,2.307496038,1.865019325,5.239489676
2021/3/29,5.150559965,-0.571670258,0.428134794,4.557615461,2.338456494,1.933776432,5.150559965
2021/4/5,5.163790288,-0.528972431,0.421603927,4.594569326,2.346352974,1.907718391,5.163790288
2021/4/12,5.265888078,-0.480872697,0.437750563,4.637299559,2.401400541,1.930876291,5.265888078
2021/4/19,5.253781283,-0.439581012,0.471291711,4.607798034,2.505149978,1.901536159,5.253781283
2021/4/26,5.337974119,-0.413416369,0.50242712,4.60054819,2.540329475,1.929418926,5.337974119
2021/5/3,5.204095553,-0.409398276,0.523746467,4.584692986,2.492760389,1.928688405,5.204095553
2021/5/10,5.281317498,-0.424431783,0.50242712,4.641662462,2.469822016,1.919824945,5.281317498
2021/5/17,5.267364184,-0.435022824,0.541579244,4.625631365,2.542825427,1.910776816,5.267364184
2021/5/24,5.215330832,-0.414155968,0.561101384,4.627673032,2.644438589,1.911538068,5.215330832
2021/5/31,5.097541886,-0.343408267,0.5774918,4.630142998,2.59439255,1.925017255,5.097541886
2021/6/7,5.046147746,-0.231249489,0.588831726,4.524409105,2.549003262,1.931603144,5.046147746
2021/6/14,4.990147865,-0.122187453,0.565847819,4.502003545,2.442479769,1.922057826,4.990147865
2021/6/21,5.034042586,-0.042382788,0.541579244,4.545232872,2.359835482,1.95008655,5.034042586
