date,N-tourists,T_avg,Sentiment,Baidu,ILI%,N_influenza,N-tourist
2021/1/25,5.016180617,1.246920431,-0.363313077,4.466096174,0.440909082,2.181843588,5.016180617
2021/2/1,5.027610514,1.282654476,-0.313398473,4.452430494,0.372912003,2.100370545,5.027610514
2021/2/8,4.908806599,1.244807071,-0.31572994,4.385141348,0.471291711,1.748188027,4.908806599
2021/2/15,4.922554197,1.275804778,-0.356977261,4.440389506,0.383815366,1.748188027,4.922554197
2021/2/22,5.038850559,1.291939415,-0.424452348,4.519814873,0.301029996,1.84509804,5.038850559
2021/3/1,5.123828783,1.283624244,-0.501228136,4.581130106,0.318063335,1.939519253,5.123828783
2021/3/8,5.200645336,1.308716824,-0.561783442,4.562292864,0.334453751,2.008600172,5.200645336
2021/3/15,5.209439945,1.349693718,-0.594222499,4.580845177,0.387389826,2.315970345,5.209439945
2021/3/22,5.239489676,1.306578191,-0.596195984,4.581357914,0.411619706,2.307496038,5.239489676
2021/3/29,5.150559965,1.399920831,-0.571670258,4.557615461,0.428134794,2.338456494,5.150559965
2021/4/5,5.163790288,1.338456494,-0.528972431,4.594569326,0.421603927,2.346352974,5.163790288
2021/4/12,5.265888078,1.364148809,-0.480872697,4.637299559,0.437750563,2.401400541,5.265888078
2021/4/19,5.253781283,1.375271592,-0.439581012,4.607798034,0.471291711,2.505149978,5.253781283
2021/4/26,5.337974119,1.375010048,-0.413416369,4.60054819,0.50242712,2.540329475,5.337974119
2021/5/3,5.204095553,1.408239965,-0.409398276,4.584692986,0.523746467,2.492760389,5.204095553
2021/5/10,5.281317498,1.448485473,-0.424431783,4.641662462,0.50242712,2.469822016,5.281317498
2021/5/17,5.267364184,1.459607858,-0.435022824,4.625631365,0.541579244,2.542825427,5.267364184
2021/5/24,5.215330832,1.458529936,-0.414155968,4.627673032,0.561101384,2.644438589,5.215330832
2021/5/31,5.097541886,1.43548033,-0.343408267,4.630142998,0.5774918,2.59439255,5.097541886
2021/6/7,5.046147746,1.442031581,-0.231249489,4.524409105,0.588831726,2.549003262,5.046147746
2021/6/14,4.990147865,1.463466374,-0.122187453,4.502003545,0.565847819,2.442479769,4.990147865
2021/6/21,5.034042586,1.429982858,-0.042382788,4.545232872,0.541579244,2.359835482,5.034042586
2021/6/28,5.048744694,1.458314031,-0.00237678,4.534749328,0.521138084,2.23299611,5.048744694
2021/7/5,5.145401536,1.462825664,-0.012708827,4.541441945,0.50242712,2.269512944,5.145401536
2021/7/12,5.244306815,1.462611883,-0.073398339,4.59645414,0.494154594,2.365487985,5.244306815
2021/7/19,5.274848014,1.444713799,-0.175979855,4.689708333,0.485721426,2.281033367,5.274848014
2021/7/26,5.239309492,1.461755709,-0.308229304,4.620562849,0.46834733,2.411619706,5.239309492
2021/8/2,4.621560535,1.447600963,-0.428398551,4.879898324,0.45331834,2.298853076,4.621560535
2021/8/9,4.789411474,1.440684234,-0.464106466,4.649617156,0.428134794,2.294466226,4.789411474
2021/8/16,5.017813533,1.452881204,-0.416352933,4.605929636,0.394451681,2.311753861,5.017813533
2021/8/23,5.05969592,1.441582929,-0.333529948,4.604323272,0.350248018,2.404833717,5.05969592
2021/8/30,5.097437794,1.448485473,-0.254605816,4.588954833,0.354108439,2.480006943,5.097437794
2021/9/6,5.221403804,1.469822016,-0.197878973,4.610628228,0.411619706,2.617000341,5.221403804
2021/9/13,5.276333105,1.458098017,-0.161324147,4.624715143,0.46834733,2.652246341,5.276333105
2021/9/20,5.108818626,1.452662471,-0.138208961,4.924134497,0.499687083,2.587710965,5.108818626
2021/9/27,3.966986025,1.458529936,-0.124201595,4.975183569,0.474216264,2.612783857,3.966986025
2021/10/4,3.648164779,1.431823092,-0.116158516,4.872785398,0.465382851,2.579783597,3.648164779
2021/10/11,3.732795698,1.385861516,-0.112470131,4.753521778,0.383815366,2.605305046,3.732795698
2021/10/18,5.063746062,1.331860941,-0.112943408,4.660011221,0.434568904,2.665580991,5.063746062
2021/10/25,5.231433907,1.366556361,-0.117580402,4.633862172,0.496929648,2.796574333,5.231433907
2021/11/1,5.213055326,1.390177837,-0.126504892,4.635252464,0.496929648,2.836324116,5.213055326
2021/11/8,5.201044629,1.29603805,-0.139843413,4.613683291,0.494154594,2.912222057,5.201044629
2021/11/15,5.248201395,1.341575827,-0.157314102,4.559439777,0.499687083,3.046104787,5.248201395
2021/11/22,5.277762737,1.271509704,-0.178543737,4.589312765,0.499687083,3.062581984,5.277762737
2021/11/29,5.218328024,1.253199496,-0.203147029,4.614454263,0.541579244,3.180985581,5.218328024
2021/12/6,5.205131253,1.292256071,-0.230599749,4.602222821,0.563481085,3.312600439,5.205131253
2021/12/13,5.230252167,1.279080015,-0.259420248,4.652410742,0.572871602,3.368472838,5.230252167
2021/12/20,5.241720761,1.223458855,-0.28718628,4.702068473,0.597695186,3.379849179,5.241720761
2021/12/27,5.294223659,1.176091259,-0.310816372,4.674052398,0.606381365,3.450249108,5.294223659
2022/1/3,5.29078229,1.262789985,-0.326669953,4.618821812,0.621176282,3.499549626,5.29078229
2022/1/10,5.22570462,1.207595902,-0.330969504,4.640173247,0.582063363,3.506369717,5.22570462
2022/1/17,5.037103645,1.224199972,-0.320574444,4.574482699,0.523746467,3.469085299,5.037103645
2022/1/24,5.03686833,1.241973166,-0.293863377,4.587666074,0.444044796,3.415974411,5.03686833
2022/1/31,5.025248502,1.082272323,-0.251249319,4.564121376,0.572871602,3.037426498,5.025248502
2022/2/7,5.177357551,1.189931242,-0.240181123,4.657419207,0.376576957,3.301247089,5.177357551
2022/2/14,5.210500441,1.147013448,-0.465846926,4.732361589,0.365487985,3.315130317,5.210500441
2022/2/21,5.252595775,1.071355909,-0.345611659,4.730604647,0.418301291,3.324488233,5.252595775
2022/2/28,5.003693128,1.295410003,-0.463698281,4.695210158,0.515873844,3.35945602,5.003693128
2022/3/7,5.094879725,1.290352659,-0.528760927,4.709634547,0.531478917,3.314288661,5.094879725
2022/3/14,5.018908444,1.348026558,-0.640734686,4.795984236,0.549003262,3.162564407,5.018908444
2022/3/21,4.989832327,1.316269962,-0.800120252,4.76855671,0.491361694,3.011993115,4.989832327
2022/3/28,5.048612691,1.265828202,-0.92233613,4.668581585,0.471291711,2.895974732,5.048612691
2022/4/4,5.028599717,1.326628414,-0.746244872,4.637319581,0.491361694,2.568201724,5.028599717
2022/4/11,5.05905575,1.3619975,-0.861638289,4.631118941,0.408239965,2.480006943,5.05905575
2022/4/18,5.086882805,1.339593391,-0.764728277,4.648808713,0.480006943,2.397940009,5.086882805
2022/4/25,5.217433932,1.404100317,-0.821104745,4.660865478,0.397940009,2.372912003,5.217433932
2022/5/2,5.118258111,1.357390277,-0.542124889,4.617545489,0.421603927,2.117271296,5.118258111
2022/5/9,4.99898256,1.380469673,-0.742640747,4.690125169,0.380211242,2.45484486,4.99898256
2022/5/16,5.107393149,1.371595559,-0.605318029,4.630549908,0.428134794,2.704150517,5.107393149
2022/5/23,5.092288942,1.406783415,-0.443409075,4.612275117,0.488550717,2.757396029,5.092288942
2022/5/30,5.115244285,1.440684234,-0.524396122,4.581335139,0.572871602,2.824776462,5.115244285
2022/6/6,5.089922765,1.417590304,-0.398914856,4.632993502,0.614897216,3.028164419,5.089922765
2022/6/13,5.049566869,1.432281935,-0.434491011,4.832751539,0.677606953,3.148910993,5.049566869
2022/6/20,3.312600439,1.45200561,-0.800120252,5.112346895,0.717670503,3.245512668,3.312600439
2022/6/27,3.309417226,1.440234188,-0.968093623,4.91826106,0.653212514,3.24674471,3.309417226
2022/7/4,3.222456337,1.446048722,-1.22336613,4.869507468,0.608526034,3.281260687,3.222456337
